scope,cluster_level,comparison_rows,cluster_count,profiled_wins,default_contract_wins,ties,profiled_win_rate_excluding_ties,cluster_bootstrap_ci_95_low,cluster_bootstrap_ci_95_high,exact_cluster_sign_flip_p,bootstrap_samples,random_seed
all,shared_default_output,90,30,75,13,2,0.8522727272727273,0.7840909090909091,0.9195402298850575,2.421438694000244e-08,10000,20260803
all,task,90,10,75,13,2,0.8522727272727273,0.7777777777777778,0.9302325581395349,0.001953125,10000,20260804
quality_gated,shared_default_output,71,25,59,10,2,0.855072463768116,0.7714285714285715,0.9285714285714286,1.0728836059570312e-06,10000,20260803
quality_gated,task,71,10,59,10,2,0.855072463768116,0.7631578947368421,0.9402985074626866,0.001953125,10000,20260804
