analysis,scope,triplets,FM,FM_low,FM_high,POA,POA_low,POA_high,DCR,DCR_low,DCR_high,ER,ER_low,ER_high,QG_FM,QG_FM_low,QG_FM_high
formal_doc_cue_control,all,20,0.55,0.3421,0.7418,0.7667,0.6333,0.8833,0.8,0.584,0.9193,0.2,0.0807,0.416,0.55,0.3421,0.7418
formal_doc_cue_control,doc,20,0.55,0.3421,0.7418,0.7667,0.6333,0.8833,0.8,0.584,0.9193,0.2,0.0807,0.416,0.55,0.3421,0.7418
formal_phase_a_doc_path_cue_control_sensitivity,all,100,0.77,0.6785,0.8416,0.87,0.8133,0.92,0.89,0.8137,0.9375,0.11,0.0625,0.1863,0.76,0.6677,0.8331
formal_phase_a_doc_path_cue_control_sensitivity,reading,20,1.0,0.8389,1,1.0,1.0,1.0,1.0,0.8389,1,0.0,0,0.1611,1.0,0.8389,1
formal_phase_a_doc_path_cue_control_sensitivity,quiz,20,0.85,0.6396,0.9476,0.95,0.9,1.0,1.0,0.8389,1,0.0,0,0.1611,0.85,0.6396,0.9476
formal_phase_a_doc_path_cue_control_sensitivity,doc,20,0.55,0.3421,0.7418,0.7667,0.6333,0.9,0.8,0.584,0.9193,0.2,0.0807,0.416,0.55,0.3421,0.7418
formal_phase_a_doc_path_cue_control_sensitivity,code,20,0.45,0.2582,0.6579,0.6333,0.4667,0.8,0.65,0.4329,0.8188,0.35,0.1812,0.5671,0.4,0.2188,0.6134
formal_phase_a_doc_path_cue_control_sensitivity,path,20,1.0,0.8389,1,1.0,1.0,1.0,1.0,0.8389,1,0.0,0,0.1611,1.0,0.8389,1
