scope,profile_id,feature,n,mean,sd,bootstrap_low,bootstrap_high
quiz,P1,avg_chars_per_sentence,20,61.1606,17.1068,53.9927,68.3758
quiz,P1,heading_count,20,0.35,1.1821,0.0,0.95
quiz,P1,list_item_count,20,0.45,1.1459,0.0,1.0
quiz,P1,formula_marker_count,20,15.85,15.4418,10.25,23.25
quiz,P1,code_block_count,20,0.05,0.2236,0.0,0.15
quiz,P1,code_line_count,20,0.0,0.0,0.0,0.0
quiz,P1,node_count,20,0.0,0.0,0.0,0.0
quiz,P1,edge_count,20,0.0,0.0,0.0,0.0
quiz,P1,resource_item_count,20,3.0,0.0,3.0,3.0
quiz,P1,jargon_marker_count,20,0.4,0.9947,0.05,0.9
quiz,P1,citation_count,20,0.0,0.0,0.0,0.0
quiz,P2,char_count,20,1594.65,883.5654,1278.7975,2016.1575
quiz,P2,token_proxy_count,20,797.0,497.6613,634.7987,1036.8562
quiz,P2,sentence_count,20,33.8,36.7059,22.95,51.35
quiz,P2,avg_chars_per_sentence,20,57.7182,18.5301,49.7349,65.4798
quiz,P2,heading_count,20,0.6,1.429,0.05,1.25
quiz,P2,list_item_count,20,0.9,1.9708,0.2,1.85
quiz,P2,formula_marker_count,20,30.65,30.5567,19.4,45.05
quiz,P2,code_block_count,20,0.0,0.0,0.0,0.0
quiz,P2,code_line_count,20,0.0,0.0,0.0,0.0
quiz,P2,node_count,20,0.0,0.0,0.0,0.0
quiz,P2,edge_count,20,0.0,0.0,0.0,0.0
quiz,P2,resource_item_count,20,3.0,0.0,3.0,3.0
quiz,P2,jargon_marker_count,20,0.7,1.3018,0.2,1.3
quiz,P2,citation_count,20,0.0,0.0,0.0,0.0
quiz,P3,char_count,20,1518.25,441.7028,1341.25,1714.3062
quiz,P3,token_proxy_count,20,718.95,151.3572,655.5987,783.5
quiz,P3,sentence_count,20,28.75,12.3112,23.75,34.35
quiz,P3,avg_chars_per_sentence,20,57.3636,16.4365,50.2589,64.3327
quiz,P3,heading_count,20,0.25,0.6387,0.0,0.55
quiz,P3,list_item_count,20,1.15,2.1343,0.35,2.15
quiz,P3,formula_marker_count,20,22.8,16.0512,16.8,30.05
quiz,P3,code_block_count,20,0.0,0.0,0.0,0.0
quiz,P3,code_line_count,20,0.0,0.0,0.0,0.0
quiz,P3,node_count,20,0.0,0.0,0.0,0.0
quiz,P3,edge_count,20,0.0,0.0,0.0,0.0
quiz,P3,resource_item_count,20,3.0,0.0,3.0,3.0
quiz,P3,jargon_marker_count,20,1.45,2.2118,0.6,2.45
quiz,P3,citation_count,20,0.0,0.0,0.0,0.0
doc,P1,char_count,20,2539.15,493.7588,2333.1488,2755.3525
