triplet_id,course_name,topic,agent_id,profile_id,char_count,token_proxy_count,sentence_count,avg_chars_per_sentence,heading_count,list_item_count,formula_marker_count,code_block_count,code_line_count,node_count,edge_count,resource_item_count,jargon_marker_count,citation_count
E1-T-2f66e535db00,数据结构与算法,拓扑排序,path,P3,683.0,452.0,1.0,683.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,15.0,0.0
E1-T-2f66e535db00,数据结构与算法,拓扑排序,path,P1,831.0,566.0,1.0,831.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-0842c7060bba,操作系统,虚拟内存与页表,path,P1,722.0,499.0,1.0,722.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-0842c7060bba,操作系统,虚拟内存与页表,path,P3,728.0,512.0,1.0,728.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,16.0,0.0
E1-T-0842c7060bba,操作系统,虚拟内存与页表,path,P2,846.0,610.0,1.0,846.0,0.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0
E1-T-89b1c58bf791,计算机网络,DNS 解析过程,quiz,P3,1460.0,835.0,32.0,45.625,0.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
E1-T-89b1c58bf791,计算机网络,DNS 解析过程,quiz,P1,617.0,267.0,10.0,61.7,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-89b1c58bf791,计算机网络,DNS 解析过程,quiz,P2,1428.0,824.0,17.0,84.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-fa9a33a5a948,操作系统,虚拟内存与页表,code,P3,2884.0,773.0,30.0,96.13333333333334,0.0,3.0,45.0,0.0,119.0,0.0,0.0,0.0,2.0,0.0
E1-T-fa9a33a5a948,操作系统,虚拟内存与页表,code,P1,2199.0,740.0,26.0,84.57692307692308,0.0,4.0,34.0,0.0,88.0,0.0,0.0,0.0,2.0,0.0
E1-T-fa9a33a5a948,操作系统,虚拟内存与页表,code,P2,2168.0,639.0,18.0,120.44444444444444,0.0,3.0,31.0,0.0,88.0,0.0,0.0,0.0,2.0,0.0
E1-T-3b508c4e192e,计算机组成原理,流水线数据冒险,quiz,P3,1157.0,633.0,18.0,64.27777777777777,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-3b508c4e192e,计算机组成原理,流水线数据冒险,quiz,P2,1493.0,813.0,29.0,51.48275862068966,0.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-3b508c4e192e,计算机组成原理,流水线数据冒险,quiz,P1,984.0,565.0,15.0,65.6,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-313dca3a6e2f,机器学习,梯度下降,path,P1,1069.0,783.0,2.0,534.5,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-313dca3a6e2f,机器学习,梯度下降,path,P2,804.0,591.0,1.0,804.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,0.0,4.0,0.0
E1-T-313dca3a6e2f,机器学习,梯度下降,path,P3,749.0,534.0,1.0,749.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,14.0,0.0
E1-T-a74182562833,操作系统,进程调度,reading,P2,2085.0,382.0,33.0,63.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-a74182562833,操作系统,进程调度,reading,P1,1981.0,385.0,34.0,58.26470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-a74182562833,操作系统,进程调度,reading,P3,2275.0,412.0,43.0,52.906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
E1-T-8820ddfbec2f,计算机组成原理,流水线数据冒险,path,P2,797.0,550.0,3.0,265.6666666666667,0.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0
E1-T-8820ddfbec2f,计算机组成原理,流水线数据冒险,path,P3,767.0,529.0,1.0,767.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0
E1-T-8820ddfbec2f,计算机组成原理,流水线数据冒险,path,P1,963.0,673.0,22.0,43.77272727272727,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0
E1-T-fc2b0d8d3f60,操作系统,虚拟内存与页表,doc,P2,2603.0,1444.0,59.0,44.11864406779661,10.0,9.0,27.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-fc2b0d8d3f60,操作系统,虚拟内存与页表,doc,P1,2582.0,1519.0,61.0,42.32786885245902,11.0,12.0,34.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
E1-T-fc2b0d8d3f60,操作系统,虚拟内存与页表,doc,P3,2522.0,1422.0,62.0,40.67741935483871,10.0,10.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
E1-T-f2082b99888e,计算机组成原理,虚地址翻译,quiz,P3,880.0,452.0,14.0,62.857142857142854,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
E1-T-f2082b99888e,计算机组成原理,虚地址翻译,quiz,P2,4840.0,2783.0,185.0,26.16216216216216,0.0,0.0,134.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-f2082b99888e,计算机组成原理,虚地址翻译,quiz,P1,648.0,353.0,11.0,58.90909090909091,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-70d4a421999b,操作系统,虚拟内存与页表,quiz,P3,1238.0,592.0,16.0,77.375,1.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
E1-T-70d4a421999b,操作系统,虚拟内存与页表,quiz,P1,703.0,397.0,11.0,63.90909090909091,0.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
E1-T-70d4a421999b,操作系统,虚拟内存与页表,quiz,P2,741.0,375.0,11.0,67.36363636363636,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
E1-T-c473af356bf9,计算机网络,DNS 解析过程,code,P2,2707.0,762.0,88.0,30.761363636363637,0.0,6.0,66.0,0.0,112.0,0.0,0.0,0.0,2.0,0.0
